purpose,consolidated_purpose_of_hearing
Evidence of PWs,Prosecution Evidence
Statement/Defense,Defence Evidence
Evidence of Enquiry Officer (EO),Other Evidence
Examination of I/O,Prosecution Evidence
Statement/defence,Defence Evidence
Evidence of M.O.,Prosecution Evidence
Appearence of the accused,Miscellaneous Appearance
Inventory Report,Miscellaneous
Appearence and C.C.,Charge
Appearance  Report,Miscellaneous Appearance
Appearance and Report,Miscellaneous Appearance
Examination,Other Evidence
Evidence of I.O.,Prosecution Evidence
Cost of Nazir,Miscellaneous
Statement / Defence / Argument,Defence Evidence
Statement  and Defence,Defence Evidence
Statement and Defence,Defence Evidence
Evedience of IO/MO,Prosecution Evidence
Evedience of MO,Prosecution Evidence
Submission of List Of Articles,Miscellaneous
DW / Argument,Defence Evidence
Cross Examination of P.WS.,Prosecution Evidence
Evedience of IO,Prosecution Evidence
Evedience of M O,Prosecution Evidence
Defence Witness,Defence Evidence
Argument / Judgement,Final Arguments
Order on Petition,Miscellaneous Order
Medical Report,Miscellaneous
Evidence of P.ws,Prosecution Evidence
order,Miscellaneous Order
Put Up,Miscellaneous
Arguement /Judgment,Final Arguments
Evidence of Executing Officer,Other Evidence
Arguement/Judgment,Final Arguments
petition hearing,Miscellaneous
Filing objections,Miscellaneous
Copy-77,Miscellaneous Appearance
Statement Defence ( S D),Defence Evidence
Production and Evidence,Prosecution Evidence
MO and IO,Prosecution Evidence
MO,Prosecution Evidence
M.O. & I.O.,Prosecution Evidence
PWS and MO and IO,Prosecution Evidence
Steps,Miscellaneous
Showcause,Miscellaneous
Investigation Officer (IO),Prosecution Evidence
Further Prosecution Witness,Prosecution Evidence
PW and M.O.,Prosecution Evidence
Production of Accused and PW,Prosecution Evidence
S/D and Argument,Defence Evidence
Appearance of Accused and Bailor,Miscellaneous Appearance
Medical Officer (MO),Prosecution Evidence
PW and I.O.,Prosecution Evidence
C.C/Copy/Appearance,Charge
Argument/Judgment,Final Arguments
Appearance of Accused,Miscellaneous Appearance
Put-up,Miscellaneous
Appearance of accused/CC,Charge
"Appearance of accused, bailor/CC",Charge
"PW, MO and IO",Prosecution Evidence
Copy1,Miscellaneous
Production,Miscellaneous Appearance
Summon to I.O.,Miscellaneous
Production of Accused and Argument,Miscellaneous Arguments
Settlement,Final Arguments
Call for record,Miscellaneous
Expert Report,Miscellaneous
Appearance of accused,Miscellaneous Appearance
Appearence of Accused,Miscellaneous Appearance
DW and Argument,Defence Evidence
Appearence and C.C,Charge
Evidence of MO and IO,Prosecution Evidence
Statement of Defence,Defence Evidence
SD/Argument,Defence Evidence
Evidence of E.O,Other Evidence
Defendant_Witness,Defence Evidence
Cross Examination,Other Evidence
Examination of E.O,Other Evidence
Copy Submission,Miscellaneous Appearance
Copy of order,Miscellaneous Order
Appearence/WS,Miscellaneous Appearance
Submission of Certificate,Miscellaneous
Copy .....,Miscellaneous Appearance
Statement Defence,Defence Evidence
Production / Appereance,Miscellaneous Appearance
Consideration of Charge,Charge
Written Objection,Miscellaneous
State Defence - SD,Defence Evidence
Inspection Of Documents,Miscellaneous
Formal withdrawal Petition,Miscellaneous
Further argument,Miscellaneous Arguments
S/D and Argument.,Defence Evidence
F.F. (Report in Final Form),Miscellaneous
Cross-Examination.,Other Evidence
Argument.,Miscellaneous Arguments
Appearance and Charge.,Charge
Evidence of I/O and M/O.,Prosecution Evidence
Statement of defence,Defence Evidence
Hearing on C.C.,Charge
Service Report/Record,Miscellaneous
Deposition,Other Evidence
Report on W/A.,Miscellaneous Appearance
Return of P and A with report.,Miscellaneous Appearance
Return of P and A with report. ( SINEDIE CASE ),Miscellaneous Appearance
Objection and objection Hearing,Miscellaneous
Appearence and Record,Miscellaneous Appearance
Appearance/Copy,Miscellaneous Appearance
Production/Evidence,Prosecution Evidence
Production/C.C.,Charge
C opy,Miscellaneous Appearance
Production through VC,Miscellaneous Appearance
S/D and argument,Defence Evidence
Objection Hearing,Miscellaneous
Report/Appearance,Miscellaneous Appearance
Cross of PWS,Prosecution Evidence
put up,Miscellaneous
Progress Report,Miscellaneous
Report / Appearance,Miscellaneous Appearance
Put up,Miscellaneous
Argument,Miscellaneous Arguments
Evidence of Investigation Officer,Prosecution Evidence
Copy/ Replica,Miscellaneous Appearance
Consideration of Charge(CC),Charge
For compliance,Miscellaneous
For examination of witnesses,Other Evidence
Evidance of I.O,Prosecution Evidence
Certifed Copy of Order,Miscellaneous
Report of P and A,Miscellaneous Appearance
Petition Hearing,Miscellaneous
