cino,act
DLSH010060412018,1
DLSH010060412018,1529
DLSH010052612019,20
DLSH010052612019,12
DLSH010052612019,39
DLSH010052612019,2
DLSH010052612019,75
DLSH010052612019,9
DLSH010052612019,1530
DLSH010055042019,1540
DLSH010054402019,20
DLSH010054402019,1540
DLSH010039842018,20
DLSH010039842018,1533
DLSH010039842018,1530
DLSH010034772018,8
DLSH010034772018,1529
DLSH010057802016,20
DLSH010057802016,2
DLSH010057802016,1540
DLSH010057802016,1530
DLSH010076032017,1
DLSH010076032017,1529
DLSH010036392017,1
DLSH010036392017,1529
DLSH010056662019,20
DLSH010056662019,12
DLSH010056662019,2
DLSH010056662019,45
DLSH010056662019,1533
DLSH010056662019,1530
DLSH010004052014,2182
DLSH010004052014,35
DLSH010004052014,1
DLSH010004052014,2
DLSH010004052014,9
DLSH010004052014,1534
DLSH010078122018,4
DLSH010078122018,1
DLSH010078122018,1534
DLSH010042692019,4
DLSH010042692019,1
DLSH010042692019,2
DLSH010042692019,32
DLSH010042692019,9
DLSH010042692019,1529
DLSH010042692019,1538
DLSH010059452018,4
DLSH010059452018,8
DLSH010059452018,1529
DLSH010081422018,4
DLSH010081422018,5
DLSH010081422018,1
DLSH010081422018,1534
DLSH010068692019,20
DLSH010068692019,540
DLSH010068692019,9
DLSH010068692019,1533
DLSH010077622019,1
DLSH010077622019,8
DLSH010077622019,45
DLSH010077622019,2
DLSH010077622019,1534
DLSH010000992019,11
DLSH010000992019,1530
DLSH010010742014,1164
DLSH010010742014,39
DLSH010010742014,20
DLSH010010742014,75
DLSH010010742014,2
DLSH010010742014,45
DLSH010010742014,1533
DLSH010061662018,4
DLSH010061662018,18
DLSH010061662018,245
DLSH010061662018,1496
DLSH010061662018,246
DLSH010061662018,247
DLSH010061662018,32
DLSH010061662018,1534
DLSH010061662018,2183
DLSH010061662018,2184
DLSH010061662018,2185
DLSH010084242019,45
DLSH010084242019,1
DLSH010084242019,2
DLSH010084242019,1529
DLSH010046562019,113
DLSH010046562019,63
DLSH010046562019,9
DLSH010046562019,1529
DLSH010046562019,1673
DLSH010080162019,45
DLSH010080162019,1
DLSH010080162019,35
DLSH010080162019,9
DLSH010080162019,1529
DLSH010003332017,20
DLSH010003332017,1540
DLSH010055012019,12
DLSH010055012019,1530
DLSH010011702020,20
DLSH010011702020,11
DLSH010011702020,1533
DLSH010073802017,4
DLSH010073802017,1
DLSH010073802017,325
DLSH010073802017,1534
DLSH010074402016,20
DLSH010074402016,22
DLSH010074402016,12
DLSH010074402016,11
DLSH010074402016,45
DLSH010074402016,2
DLSH010074402016,9
DLSH010074402016,1533
DLSH010070152018,45
DLSH010070152018,39
DLSH010070152018,20
DLSH010070152018,11
DLSH010070152018,12
DLSH010070152018,2
DLSH010070152018,75
DLSH010070152018,9
DLSH010070152018,1533
DLSH010070152018,1530
DLSH010022092020,1529
DLSH010022092020,45
DLSH010022092020,4
DLSH010022092020,63
DLSH010022092020,96
DLSH010022092020,2
DLSH010000342020,1529
DLSH010000342020,1
DLSH010000342020,4
DLSH010000342020,2
DLSH010083292019,45
DLSH010083292019,9
DLSH010083292019,1540
DLSH010083292019,1539
DLSH010069962016,20
DLSH010069962016,1540
DLSH010006872017,1
DLSH010006872017,4
DLSH010006872017,1661
DLSH010059732019,45
DLSH010059732019,39
DLSH010059732019,10
DLSH010059732019,2
DLSH010059732019,304
DLSH010059732019,9
DLSH010059732019,1533
DLSH010001472020,4
DLSH010001472020,20
DLSH010001472020,9
DLSH010001472020,1533
DLSH010072462016,20
DLSH010072462016,10
DLSH010072462016,2
DLSH010072462016,75
DLSH010072462016,1530
DLSH010030862018,20
DLSH010030862018,1533
DLSH010072782018,20
DLSH010072782018,1530
DLSH010072782018,1533
DLSH010051492019,45
DLSH010051492019,39
DLSH010051492019,540
DLSH010051492019,20
DLSH010051492019,9
DLSH010051492019,1533
DLSH010081792018,20
DLSH010081792018,1533
DLSH010030112016,1
DLSH010030112016,4
DLSH010030112016,34
DLSH010030112016,63
DLSH010030112016,35
DLSH010030112016,1529
DLSH010064822016,11
DLSH010064822016,1540
DLSH010009852020,2
DLSH010009852020,1529
DLSH010034402017,10
DLSH010034402017,20
DLSH010034402017,1540
DLSH010001502016,1164
DLSH010001502016,4
DLSH010001502016,5
DLSH010001502016,22
DLSH010001502016,45
DLSH010001502016,46
DLSH010001502016,18
DLSH010001502016,1529
DLSH010061822019,1
DLSH010061822019,63
DLSH010061822019,5
DLSH010061822019,22
DLSH010061822019,12
DLSH010061822019,4
DLSH010061822019,1529
DLSH010008972016,1154
DLSH010008972016,2
DLSH010008972016,18
DLSH010008972016,1529
DLSH010010912019,39
DLSH010010912019,20
DLSH010010912019,12
DLSH010010912019,2
DLSH010010912019,106
DLSH010010912019,9
DLSH010010912019,1530
DLSH010083302018,4
DLSH010083302018,63
DLSH010083302018,1
DLSH010083302018,1534
DLSH010083302018,1529
DLSH010030572017,4
DLSH010030572017,259
DLSH010030572017,1
DLSH010030572017,20
DLSH010030572017,10
DLSH010030572017,1529
DLSH010066992018,2186
DLSH010066992018,1534
DLSH010066992018,1529
DLSH010010932018,10
DLSH010010932018,45
DLSH010010932018,1540
DLSH010045612018,2187
DLSH010045612018,13
DLSH010045612018,10
DLSH010045612018,75
DLSH010045612018,1533
DLSH010084792018,20
DLSH010084792018,39
DLSH010084792018,1540
DLSH010028392018,1
DLSH010028392018,1540
DLSH010056712016,12
DLSH010056712016,1530
DLSH010015842019,298
DLSH010015842019,350
DLSH010015842019,259
DLSH010015842019,1529
DLSH010026422018,351
DLSH010026422018,1529
DLSH010047592017,1
DLSH010047592017,4
DLSH010047592017,2
DLSH010047592017,1534
DLSH010021482020,45
DLSH010021482020,20
DLSH010021482020,75
DLSH010021482020,2
DLSH010021482020,48
DLSH010021482020,1530
DLSH010029002018,4
DLSH010029002018,1
DLSH010029002018,1534
DLSH010009972018,11
DLSH010009972018,45
DLSH010009972018,1530
DLSH010079622016,48
DLSH010079622016,20
DLSH010079622016,10
DLSH010079622016,12
DLSH010079622016,540
DLSH010079622016,2
DLSH010079622016,9
DLSH010079622016,1530
DLSH010079622016,2188
DLSH010068302018,12
DLSH010068302018,1530
DLSH010064622019,4
DLSH010064622019,18
DLSH010064622019,245
DLSH010064622019,2
DLSH010064622019,1529
DLSH010064622019,1614
DLSH010064622019,1577
DLSH010064622019,1578
DLSH010064622019,1615
DLSH010042482019,20
DLSH010042482019,12
DLSH010042482019,2
DLSH010042482019,39
DLSH010042482019,75
DLSH010042482019,1530
DLSH010013312018,8
DLSH010013312018,1529
DLSH010082672018,1
DLSH010082672018,1529
DLSH010068332018,20
DLSH010068332018,1540
DLSH010042702019,4
DLSH010042702019,63
DLSH010042702019,1
DLSH010042702019,1529
DLSH010053752016,12
DLSH010053752016,1530
DLSH010045402018,20
DLSH010045402018,1533
DLSH010027202019,20
DLSH010027202019,1
DLSH010027202019,2
DLSH010027202019,35
DLSH010027202019,39
DLSH010027202019,1534
DLSH010027202019,1530
DLSH010054412019,12
DLSH010054412019,45
DLSH010054412019,75
DLSH010054412019,1530
DLSH010031172017,20
DLSH010031172017,1533
DLSH010042492019,4
DLSH010042492019,1
DLSH010042492019,22
DLSH010042492019,9
DLSH010042492019,1534
DLSH010018722017,8
DLSH010018722017,1529
DLSH010044242019,20
DLSH010044242019,12
DLSH010044242019,2
DLSH010044242019,75
DLSH010044242019,1533
DLSH010051482019,12
DLSH010051482019,540
DLSH010051482019,75
DLSH010051482019,2
DLSH010051482019,1530
DLSH010025272017,22
DLSH010025272017,20
DLSH010025272017,4
DLSH010025272017,1529
DLSH010038192018,1
DLSH010038192018,245
DLSH010038192018,5
DLSH010038192018,2189
DLSH010038192018,1577
DLSH010038192018,1578
DLSH010038192018,1534
DLSH010038192018,1538
DLSH010038192018,1539
DLSH010068832019,98
DLSH010068832019,325
DLSH010068832019,1529
DLSH010079352019,2190
DLSH010079352019,1530
DLSH010052532018,1
DLSH010052532018,63
DLSH010052532018,4
DLSH010052532018,1529
DLSH010007082014,2176
DLSH010007082014,35
DLSH010007082014,1
DLSH010007082014,2
DLSH010007082014,4
DLSH010007082014,1534
DLSH010055022017,20
DLSH010055022017,1540
DLSH010044712018,4
DLSH010044712018,63
DLSH010044712018,1
DLSH010044712018,325
DLSH010044712018,1534
DLSH010031992019,1
DLSH010031992019,1534
DLSH010007412020,11
DLSH010007412020,22
DLSH010007412020,1530
DLSH010046722016,20
DLSH010046722016,1530
DLSH010058602017,1
DLSH010058602017,51
DLSH010058602017,1534
DLSH010079882019,1
DLSH010079882019,8
DLSH010079882019,1529
DLSH010012622019,20
DLSH010012622019,10
DLSH010012622019,45
DLSH010012622019,39
DLSH010012622019,75
DLSH010012622019,9
DLSH010012622019,1533
DLSH010012622019,1530
DLSH010043962019,20
DLSH010043962019,10
DLSH010043962019,45
DLSH010043962019,2
DLSH010043962019,1533
DLSH010083282019,20
DLSH010083282019,1533
DLSH010019472019,4
DLSH010019472019,1
DLSH010019472019,1529
DLSH010050762016,75
DLSH010050762016,2
DLSH010050762016,1530
DLSH010017652019,4
DLSH010017652019,1
DLSH010017652019,1534
DLSH010051942018,4
DLSH010051942018,1
DLSH010051942018,1529
DLSH010073232019,20
DLSH010073232019,1533
DLSH010028512017,4
DLSH010028512017,1
DLSH010028512017,1534
DLSH010044692017,20
DLSH010044692017,13
DLSH010044692017,1533
DLSH010014112018,4
DLSH010014112018,18
DLSH010014112018,63
DLSH010014112018,22
DLSH010014112018,9
DLSH010014112018,1529
DLSH010069192019,20
DLSH010069192019,2
DLSH010069192019,39
DLSH010069192019,9
DLSH010069192019,1533
DLSH010079472019,1529
DLSH010079472019,4
DLSH010079472019,1
DLSH010056922018,1
DLSH010056922018,1529
DLSH010063782017,351
DLSH010063782017,18
DLSH010063782017,2
DLSH010063782017,1529
DLSH010067332019,35
DLSH010067332019,112
DLSH010067332019,4
DLSH010067332019,1
DLSH010067332019,2
DLSH010067332019,1534
DLSH010023882019,11
DLSH010023882019,39
DLSH010023882019,1530
DLSH010074792017,4
DLSH010074792017,1529
DLSH010050562016,20
DLSH010050562016,45
DLSH010050562016,12
DLSH010050562016,2
DLSH010050562016,75
DLSH010050562016,1533
DLSH010050562016,1530
DLSH010046112016,1
DLSH010046112016,35
DLSH010046112016,4
DLSH010046112016,22
DLSH010046112016,1534
DLSH010027342017,12
DLSH010027342017,1530
DLSH010051202019,1
DLSH010051202019,51
